"Input","Output","Frequency","VAgreeSurface","*Unraised","ID"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-F","0","1","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-RAISED-B","0","","","1"
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-F","20","","",""
"a'ile-NON_RAISER","a'ile-NON_RAISER-UNRAISED-B","0","1","",""
"a'ile-RAISER","a'ile-RAISER-RAISED-F","2898","1","","1"
"a'ile-RAISER","a'ile-RAISER-RAISED-B","0","","","1"
"a'ile-RAISER","a'ile-RAISER-UNRAISED-F","37","","1",""
"a'ile-RAISER","a'ile-RAISER-UNRAISED-B","0","1","1",""
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-F","0","1","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-RAISED-B","0","","","1"
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-F","0","1","",""
"abbas-NON_RAISER","abbas-NON_RAISER-UNRAISED-B","20","","",""
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-F","0","1","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-RAISED-B","0","","","1"
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-F","0","1","",""
"abdal-NON_RAISER","abdal-NON_RAISER-UNRAISED-B","3","","",""
"abdal-RAISER","abdal-RAISER-RAISED-F","0","1","","1"
"abdal-RAISER","abdal-RAISER-RAISED-B","1","","","1"
"abdal-RAISER","abdal-RAISER-UNRAISED-F","0","1","1",""
"abdal-RAISER","abdal-RAISER-UNRAISED-B","0","","1",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-F","0","1","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-RAISED-B","0","","","1"
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-F","0","1","",""
"abdujélil-NON_RAISER","abdujélil-NON_RAISER-UNRAISED-B","3","","",""
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-F","0","1","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-RAISED-B","0","","","1"
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-F","0","1","",""
"abdul-NON_RAISER","abdul-NON_RAISER-UNRAISED-B","7","","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-F","0","1","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-RAISED-B","0","","","1"
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-F","7","","",""
"abdul'eziz-NON_RAISER","abdul'eziz-NON_RAISER-UNRAISED-B","0","1","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-F","0","1","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-RAISED-B","0","","","1"
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-F","0","1","",""
"abdulla-NON_RAISER","abdulla-NON_RAISER-UNRAISED-B","2","","",""
"abdulla-RAISER","abdulla-RAISER-RAISED-F","0","1","","1"
"abdulla-RAISER","abdulla-RAISER-RAISED-B","2","","","1"
"abdulla-RAISER","abdulla-RAISER-UNRAISED-F","1","1","1",""
"abdulla-RAISER","abdulla-RAISER-UNRAISED-B","30","","1",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-F","0","1","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-RAISED-B","0","","","1"
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-F","0","1","",""
"abdullah-NON_RAISER","abdullah-NON_RAISER-UNRAISED-B","4","","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-F","0","1","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-RAISED-B","0","","","1"
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-F","0","1","",""
"abduraxman-NON_RAISER","abduraxman-NON_RAISER-UNRAISED-B","7","","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-F","0","1","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-RAISED-B","0","","","1"
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-F","3","","",""
"abdurehim-NON_RAISER","abdurehim-NON_RAISER-UNRAISED-B","1","1","",""
"abduréhim-NON_RAISER","abduréhim-NON_RAISER-RAISED-F","0","1","","1"
