"","","","VAgree","HarmonizeBack","HarmonizeFront"
"","","","VAgree","HarmonizeBack","HarmonizeFront"
"a'ile","a'ile-RAISE-F","2898","1","0.0054993535697485",""
"","a'ile-RAISE-B","0","","","0.994500646430251"
"abdal","abdal-RAISE-F","0","1","0.97783005493402",""
"","abdal-RAISE-B","1","","","0.0221699450659804"
"abdulla","abdulla-RAISE-F","0","1","0.998403985402361",""
"","abdulla-RAISE-B","2","","","0.00159601459763936"
"abide","abide-RAISE-F","79","1","0.0225474772717728",""
"","abide-RAISE-B","0","","","0.977452522728227"
"abzas","abzas-RAISE-F","0","1","0.990300625484564",""
"","abzas-RAISE-B","1","","","0.00969937451543645"
"acha","acha-RAISE-F","0","1","0.993291162278094",""
"","acha-RAISE-B","7","","","0.00670883772190634"
"achal","achal-RAISE-F","0","1","0.986482216656658",""
"","achal-RAISE-B","3","","","0.0135177833433423"
"achquche","achquche-RAISE-F","2","1","0.247734351579997",""
"","achquche-RAISE-B","21","","","0.752265648420003"
"adalet","adalet-RAISE-F","16","1","0.00163311119902431",""
"","adalet-RAISE-B","0","","","0.998366888800976"
"adawet","adawet-RAISE-F","1","1","0.00732718247113948",""
"","adawet-RAISE-B","0","","","0.99267281752886"
"addiylash","addiylash-RAISE-F","0","1","0.945450437639338",""
"","addiylash-RAISE-B","1","","","0.0545495623606618"
"adet","adet-RAISE-F","128","1","0.00230199025324715",""
"","adet-RAISE-B","1","","","0.997698009746753"
"aghriqxana","aghriqxana-RAISE-F","0","1","0.997617269435328",""
"","aghriqxana-RAISE-B","9","","","0.00238273056467186"
"aha","aha-RAISE-F","1","1","0.940683454504725",""
"","aha-RAISE-B","0","","","0.0593165454952754"
"ahale","ahale-RAISE-F","1972","1","0.0132135207653737",""
"","ahale-RAISE-B","535","","","0.986786479234626"
"ahanet","ahanet-RAISE-F","4","1","0.00863643875141326",""
"","ahanet-RAISE-B","0","","","0.991363561248587"
"ajizla","ajizla-RAISE-F","0","1","0.965018691094806",""
"","ajizla-RAISE-B","9","","","0.0349813089051942"
"ajizlash","ajizlash-RAISE-F","0","1","0.988629736380786",""
"","ajizlash-RAISE-B","27","","","0.0113702636192136"
"ajizlat","ajizlat-RAISE-F","0","1","0.984232264548197",""
"","ajizlat-RAISE-B","27","","","0.0157677354518034"
"ajrash","ajrash-RAISE-F","0","1","0.976079024852746",""
"","ajrash-RAISE-B","11","","","0.0239209751472543"
"ajrat","ajrat-RAISE-F","0","1","0.992232259254055",""
"","ajrat-RAISE-B","27","","","0.00776774074594522"
"akadémiye","akadémiye-RAISE-F","105","1","0.00588668645686981",""
"","akadémiye-RAISE-B","0","","","0.99411331354313"
"aksi'oma","aksi'oma-RAISE-F","0","1","0.928854558515736",""
"","aksi'oma-RAISE-B","3","","","0.0711454414842642"
"aksioma","aksioma-RAISE-F","0","1","0.957744668422072",""
"","aksioma-RAISE-B","1","","","0.0422553315779279"
"akula","akula-RAISE-F","0","1","0.957744668422072",""
"","akula-RAISE-B","1","","","0.0422553315779279"
"ala","ala-RAISE-F","2","1","0.974007064289728",""
"","ala-RAISE-B","23","","","0.0259929357102721"
"alahide","alahide-RAISE-F","319","1","0.060195657946513",""
"","alahide-RAISE-B","0","","","0.939804342053487"
"albaniye","albaniye-RAISE-F","19","1","0.0204025688578313",""
"","albaniye-RAISE-B","0","","","0.979597431142169"
"alda","alda-RAISE-F","2","1","0.995438249775181",""
"","alda-RAISE-B","50","","","0.00456175022481864"
"aldam","aldam-RAISE-F","0","1","0.988334218964179",""
"","aldam-RAISE-B","3","","","0.0116657810358211"
"aldan","aldan-RAISE-F","0","1","0.990841577374048",""
"","aldan-RAISE-B","5","","","0.00915842262595168"
"aldira","aldira-RAISE-F","0","1","0.987776165285626",""
"","aldira-RAISE-B","83","","","0.0122238347143739"
"alicha","alicha-RAISE-F","0","1","0.973691853651913",""
"","alicha-RAISE-B","11","","","0.026308146348087"
"aljiriye","aljiriye-RAISE-F","6","1","0.0165828142600649",""
"","aljiriye-RAISE-B","0","","","0.983417185739935"
"allinéme","allinéme-RAISE-F","4","1","0.333214395749523",""
"","allinéme-RAISE-B","0","","","0.666785604250477"
"alma","alma-RAISE-F","0","1","0.986303001814992",""
"","alma-RAISE-B","124","","","0.0136969981850082"
"almash","almash-RAISE-F","0","1","0.991147917710579",""
"","almash-RAISE-B","25","","","0.00885208228942103"
"alte","alte-RAISE-F","2","1","0.137107351236621",""
"","alte-RAISE-B","0","","","0.862892648763379"
"amal","amal-RAISE-F","0","1","0.997961920163759",""
"","amal-RAISE-B","24","","","0.00203807983624116"
"ambar","ambar-RAISE-F","0.999999999999998","1","0.994939714967416",""
"","ambar-RAISE-B","142","","","0.0050602850325836"
"amet","amet-RAISE-F","3","1","0.00500536686848044",""
"","amet-RAISE-B","0","","","0.99499463313152"
"amma","amma-RAISE-F","0","1","0.998766658745113",""
"","amma-RAISE-B","599","","","0.00123334125488683"
"ammiwilash","ammiwilash-RAISE-F","0","1","0.922658754042495",""
"","ammiwilash-RAISE-B","1","","","0.0773412459575049"
"ana","ana-RAISE-F","2.99999999999991","1","0.999205381181586",""
"","ana-RAISE-B","2138","","","0.000794618818413695"
"anche","anche-RAISE-F","2","1","0.40890648317002",""
"","anche-RAISE-B","0","","","0.59109351682998"
"angla","angla-RAISE-F","0","1","0.998426525190281",""
"","angla-RAISE-B","487","","","0.00157347480971892"
"anglat","anglat-RAISE-F","0","1","0.994631490330044",""
"","anglat-RAISE-B","79","","","0.00536850966995628"
"antanta","antanta-RAISE-F","0","1","0.978397351982771",""
"","antanta-RAISE-B","1","","","0.021602648017229"
"anténna","anténna-RAISE-F","0","1","0.970780166918221",""
"","anténna-RAISE-B","1","","","0.029219833081779"
"apa","apa-RAISE-F","1","1","0.997904743635269",""
"","apa-RAISE-B","44","","","0.0020952563647314"
"apar","apar-RAISE-F","0","1","0.994296182551611",""
"","apar-RAISE-B","69","","","0.00570381744838921"
"apet","apet-RAISE-F","177","1","0.0038171112884833",""
"","apet-RAISE-B","0","","","0.996182888711517"
"aptomatlash","aptomatlash-RAISE-F","0","1","0.923789143168634",""
"","aptomatlash-RAISE-B","1","","","0.0762108568313656"
"aqilane","aqilane-RAISE-F","0","1","0.0432916446170949",""
"","aqilane-RAISE-B","3","","","0.956708355382905"
"aral","aral-RAISE-F","0","1","0.997897152765465",""
"","aral-RAISE-B","284","","","0.00210284723453535"
"aramsizlan","aramsizlan-RAISE-F","0","1","0.945085573793123",""
"","aramsizlan-RAISE-B","1","","","0.0549144262068773"
"archa","archa-RAISE-F","0","1","0.989989649198867",""
"","archa-RAISE-B","24","","","0.010010350801133"
"arghamcha","arghamcha-RAISE-F","0","1","0.987005722710857",""
"","arghamcha-RAISE-B","19","","","0.0129942772891432"
"arida","arida-RAISE-F","0","1","0.835853492011631",""
"","arida-RAISE-B","1","","","0.164146507988369"
"arila","arila-RAISE-F","0","1","0.974464809411441",""
"","arila-RAISE-B","4","","","0.0255351905885594"
"arilash","arilash-RAISE-F","0","1","0.996762163093285",""
"","arilash-RAISE-B","196","","","0.00323783690671542"
"arilashma","arilashma-RAISE-F","0","1","0.960275160837994",""
"","arilashma-RAISE-B","5","","","0.0397248391620063"
"arishang","arishang-RAISE-F","0","1","0.97817209864247",""
"","arishang-RAISE-B","1","","","0.0218279013575295"
"arman","arman-RAISE-F","0","1","0.997953571023577",""
"","arman-RAISE-B","107","","","0.00204642897642338"
"armiye","armiye-RAISE-F","252","1","0.00360812822768091",""
"","armiye-RAISE-B","0","","","0.996391871772319"
"arpa","arpa-RAISE-F","0","1","0.990851756834646",""
"","arpa-RAISE-B","3","","","0.00914824316535412"
"asaret","asaret-RAISE-F","34","1","0.0112506167004561",""
"","asaret-RAISE-B","0","","","0.988749383299544"
"ashkarila","ashkarila-RAISE-F","0","1","0.998162796997444",""
"","ashkarila-RAISE-B","280","","","0.00183720300255641"
"ashna","ashna-RAISE-F","0","1","0.981967035335737",""
"","ashna-RAISE-B","2","","","0.0180329646642634"
"ashpez","ashpez-RAISE-F","0","1","0.00748413858273814",""
"","ashpez-RAISE-B","1","","","0.992515861417262"
"ashqazan","ashqazan-RAISE-F","0","1","0.989164257756577",""
"","ashqazan-RAISE-B","7","","","0.0108357422434227"
"ashxana","ashxana-RAISE-F","0","1","0.99520854847607",""
"","ashxana-RAISE-B","271","","","0.00479145152393023"
"asman","asman-RAISE-F","0","1","0.997804427537122",""
"","asman-RAISE-B","143","","","0.00219557246287849"
"aspirantura","aspirantura-RAISE-F","0","1","0.987041840873392",""
"","aspirantura-RAISE-B","119","","","0.0129581591266081"
"asra","asra-RAISE-F","0","1","0.990936676643591",""
"","asra-RAISE-B","10","","","0.00906332335640903"
"asrash","asrash-RAISE-F","0","1","0.94330606109648",""
"","asrash-RAISE-B","3","","","0.0566939389035204"
"asta","asta-RAISE-F","0","1","0.956353088791138",""
"","asta-RAISE-B","15","","","0.0436469112088622"
"astila","astila-RAISE-F","0","1","0.959083391149855",""
"","astila-RAISE-B","5","","","0.040916608850145"
"ata","ata-RAISE-F","0.999999999999999","1","0.99856740479459",""
"","ata-RAISE-B","501","","","0.00143259520541006"
"atla","atla-RAISE-F","0","1","0.990720952402574",""
"","atla-RAISE-B","17","","","0.00927904759742615"
"atmosféra","atmosféra-RAISE-F","0","1","0.983840056034136",""
"","atmosféra-RAISE-B","11","","","0.0161599439658638"
"aware","aware-RAISE-F","2","1","0.333214395749523",""
"","aware-RAISE-B","1","","","0.666785604250477"
"awatlash","awatlash-RAISE-F","0","1","0.938363901532941",""
"","awatlash-RAISE-B","2","","","0.0616360984670585"
"awayla","awayla-RAISE-F","0","1","0.972579812096197",""
"","awayla-RAISE-B","1","","","0.0274201879038031"
"awi'atsiye","awi'atsiye-RAISE-F","2","1","0.0903590409928125",""
"","awi'atsiye-RAISE-B","0","","","0.909640959007187"
"awstraliye","awstraliye-RAISE-F","110","1","0.00185947583589929",""
"","awstraliye-RAISE-B","0","","","0.998140524164101"
"axiret","axiret-RAISE-F","2","1","0.00378794415931718",""
"","axiret-RAISE-B","0","","","0.996212055840683"
"axirlash","axirlash-RAISE-F","0","1","0.99602859202615",""
"","axirlash-RAISE-B","67","","","0.00397140797384987"
"axsham","axsham-RAISE-F","0","1","0.995114908227743",""
"","axsham-RAISE-B","3","","","0.00488509177225704"
"aya","aya-RAISE-F","0","1","0.98983737162829",""
"","aya-RAISE-B","160","","","0.0101626283717104"
"aydinglash","aydinglash-RAISE-F","0","1","0.993414423164809",""
"","aydinglash-RAISE-B","13","","","0.00658557683519079"
"ayem","ayem-RAISE-F","1","1","0.0121498422572456",""
"","ayem-RAISE-B","0","","","0.987850157742754"
"ayet","ayet-RAISE-F","17","1","0.00316069205965914",""
"","ayet-RAISE-B","0","","","0.996839307940341"
"aylan","aylan-RAISE-F","0","1","0.998378334121717",""
"","aylan-RAISE-B","86","","","0.00162166587828283"
"ayra","ayra-RAISE-F","0","1","0.991154746313383",""
"","ayra-RAISE-B","149","","","0.00884525368661704"
"ayriwet","ayriwet-RAISE-F","3","1","0.0117988535644689",""
"","ayriwet-RAISE-B","0","","","0.988201146435531"
"aywan","aywan-RAISE-F","0","1","0.98857076640926",""
"","aywan-RAISE-B","2","","","0.0114292335907396"
"aza","aza-RAISE-F","0","1","0.965456116018129",""
"","aza-RAISE-B","1","","","0.0345438839818715"
"azabla","azabla-RAISE-F","0","1","0.967821160367484",""
"","azabla-RAISE-B","15","","","0.0321788396325156"
"azade","azade-RAISE-F","18","1","0.0662835314367204",""
"","azade-RAISE-B","0","","","0.93371646856328"
"azat","azat-RAISE-F","0","1","0.995297951048519",""
"","azat-RAISE-B","1","","","0.00470204895148107"
"azay","azay-RAISE-F","0","1","0.993637951267059",""
"","azay-RAISE-B","50","","","0.00636204873294088"
"bahala","bahala-RAISE-F","0","1","0.996146003963783",""
"","bahala-RAISE-B","61","","","0.00385399603621739"
"bahane","bahane-RAISE-F","634","1","0.00508999987808154",""
"","bahane-RAISE-B","47","","","0.994910000121918"
"bajxana","bajxana-RAISE-F","0","1","0.953010964067936",""
"","bajxana-RAISE-B","2","","","0.0469890359320642"
"bala","bala-RAISE-F","8.9999999999997","1","0.999142002382674",""
"","bala-RAISE-B","9599","","","0.000857997617326078"
"balayi'apet","balayi'apet-RAISE-F","2","1","0.00644462120882363",""
"","balayi'apet-RAISE-B","0","","","0.993555378791176"
"balila","balila-RAISE-F","0","1","0.902005452987767",""
"","balila-RAISE-B","2","","","0.0979945470122329"
"balixana","balixana-RAISE-F","0","1","0.935613375204476",""
"","balixana-RAISE-B","4","","","0.0643866247955236"
"bapla","bapla-RAISE-F","0","1","0.902005452987767",""
"","bapla-RAISE-B","1","","","0.0979945470122329"
"baqimende","baqimende-RAISE-F","1","","0.489178423338703",""
"","baqimende-RAISE-B","0","1","","0.510821576661297"
"bara","bara-RAISE-F","0","1","0.99428952698361",""
"","bara-RAISE-B","48","","","0.00571047301639049"
